vacancy_id,title,company,salary_from,salary_to,currency,city,experience,employment_type,work_conditions,description,published_at,url,scraped_at
121123736,Уборщик помещений,"АО РТС Деко, АО",200000.0,,KZT,Алматы,,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"Обязанности Осуществляет уборку помещений, коридоров, лестниц, санузлов. Собирает мусор и относит его в установленное место. Следит за наличием моющих средств и приспособлений. Требования Исполнительность Аккуратность Условия график 52, с 0700-1600 трудоустройство согласно ТК РК. своевременная выплата заработной платы.",2025-05-29T00:00:00,https://hh.kz/vacancy/121123736?hhtmFrom=vacancy_search_list,2025-05-31T02:35:54.209135
121173244,Стажер в отдел Бренд-маркетинга (Lays),ТОО PepsiCo Central Asia (ПепсиКо Центральная Азия),,,KZT,Алматы,,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"Обязанности Сопровождение Бренд Менеджера в подготовке и реализации маркетинговых активностей Участие в сьемках для социальных сетей Подготовка отчетов Документооборот Координация маркетинговых агенств Ведение и закрытие бюджета. Работа с внешними поставщиками и с внутренним отделом финансов, бухгалтерии и закупок Участие в организационных проектах компании Выезды в торговые точки (маркет туры) Образование Законченное высшее образование (бакалавиат) или студент магистратуры (вечернее время",2025-05-30T00:00:00,https://hh.kz/vacancy/121173244?hhtmFrom=vacancy_search_list,2025-05-31T02:35:58.069579
121149054,Личный помощник (департамент FlyArystan),"AIR ASTANA, АО",,,KZT,Алматы,,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"ТРЕБОВАНИЯ Высшее образование. Знание казахского, русского, английского языков на продвинутом уровне (прямой руководитель британец) Владение деловой письменной и устной речью. Знание организации делопроизводства. Знание систематизации и хранения служебной документации. Инициативность. Владение ПК и офисными приложениями на уровне опытного пользователя. ОБЯЗАННОСТИ Документооборот и координация Управление входящей и исходящей корреспонденцией, рассылка материалов и подготовка документов для",2025-05-30T00:00:00,https://hh.kz/vacancy/121149054?hhtmFrom=vacancy_search_list,2025-05-31T02:36:01.841160
121088791,Бухгалтер материального стола (в международную производственную компанию),ТОО Manpower,,600000.0,KZT,Алматы,36 лет,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"Обязанности Контроль и отражение на счетах бухгалтерского учета операции, связанные с движением основных средств, товарно-материальных ценностей (поступлениеЭСФ ТМЦ ОС, перемещение, списание)- только сырья участвующих в производственных процессах Участвует в разработке и осуществлении мероприятий, направленных на соблюдение дисциплины в учете и рациональное использование ресурсов. Полное ведение производства (отчет производства за смену, требования накладные, спецификации, установка схем зак",2025-05-28T00:00:00,https://hh.kz/vacancy/121088791?hhtmFrom=vacancy_search_list,2025-05-31T02:36:05.550232
121018649,Технический переводчик,"НГСК КазСтройСервис, АО",,,KZT,Алматы,36 лет,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"Требования Высшее образование Отличное владение английским и русским языками Знание специфической терминологии в сфере промышленного строительства и проектирования на английском и русском языках Знание грамматических и стилистических особенностей русского и английского языков Опыт работы от 3-х лет хорошие коммуникативные навыки на английском и русском языках опыт работы переводчиком в энергетике, электротехнике, управлении проектами, бизнесе, международной торговли от 3-6 лет Должност",2025-05-27T00:00:00,https://hh.kz/vacancy/121018649?hhtmFrom=vacancy_search_list,2025-05-31T02:36:09.359533
120701226,Продавец-консультант в магазин женской одежды,ИП TISOU,150000.0,,KZT,Алматы,,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"Если вам интересно работать в сфере ритейл, вы хотите получить опыт, обучаться и развиваться в этой сфере, мы готовы вас принять) Так же если вы ищете себя и не имеете опыта, мы готовы обучить Вас) Обязанности Консультирование покупателей и продажи предпродажная подготовка товаров, выкладка товара на полках, контроль наличия товаров в зале и своевременное пополнение полок, контроль актуальности этикеток, информирование покупателей о специальных предложениях и акциях Требования Умение находи",2025-05-19T00:00:00,https://hh.kz/vacancy/120701226?hhtmFrom=vacancy_search_list,2025-05-31T02:36:13.098866
120168980,Бариста-продавец,ТОО Simple INC,180000.0,,KZT,Алматы,,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"В нашу команду требуются бариста-продавцы (можно без опыта и в том числе студентам). Идеальный кандидат обладает позитивным настроем, легко коммуницирует с новыми с людьми. Развозки и дорожных нет. Обязанности Знать ассортимент продукции кафе по названию и внешнему виду обслуживание гостей работа за кассой содержание в чистоте рабочее место и т.д. Опыт работы в сфере обслуживания будет преимуществом. Требования Умение обслуживать и работать с оборудованием дружелюбный, общительный, клие",2025-05-05T00:00:00,https://hh.kz/vacancy/120168980?hhtmFrom=vacancy_search_list,2025-05-31T02:36:17.020889
121036281,Руководитель юридического департамента,ТОО Rocket Sales,1000000.0,,KZT,Алматы,36 лет,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"Руководитель юридического департамента в e-com компанию О компании Мы  казахстанская e-commerce компания, которая меняет привычный подход к онлайн-шопингу. Наша миссия  сделать покупки проще, быстрее и удобнее для людей по всей стране. В основе нашего успеха  сильная IT-команда, которая разрабатывает собственные технологические решения для логистики, обработки заказов, персонализации контента и аналитики. Мы не просто строим интернет-магазин  мы создаём полноценную цифровую платформу для тор",2025-05-27T00:00:00,https://hh.kz/vacancy/121036281?hhtmFrom=vacancy_search_list,2025-05-31T02:36:20.694454
121065917,Водитель с функцией помощника руководителя,ТОО AND Asia,400000.0,,KZT,Алматы,36 лет,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"ВАЖНО Только официальное оформление. На эту позицию проходит конкурсный отбор, который будет состоять из нескольких встреч и сбора справок с прошлых мест работы. Если вам интересна наша вакансия, то пожалуйста, прочитайте объявление до конца, чтобы убедиться, что это вам подходит.ТОО SAMRUK Trade - это самый известный в своей нише во всем СНГ салон Центр Красок №1 который занимается реализацией лакокрасочных изделий всемирно известных мировых торговых марок Dulux, Marshall, Pinotex, Hammerite",2025-05-28T00:00:00,https://hh.kz/vacancy/121065917?hhtmFrom=vacancy_search_list,2025-05-31T02:36:24.534899
121170346,Графический дизайнер,ТОО JMart,,500000.0,KZT,Алматы,,Полная занятость,удаленная работа сменный график гибкий график частичная занятость вахтовый метод полный день,"TOO Jmart - компания в экосистеме Jusan, которая развивает продукты Jusan Магазин, Jusan Travel и Jusan Афиша. Нашими продуктами ежедневно пользуются миллионы клиентов по всему Казахстану. В связи с расширением команды маркетинга и появления новых инициатив мы в поиске Графического дизайнера. Чем предстоит заниматься Создание визуальных материалов для SMM Разработка креативов и анимаций для социальных сетей. Подготовка сторис и рекламных макетов для таргетированной рекламы. Обновление визу",2025-05-30T00:00:00,https://hh.kz/vacancy/121170346?hhtmFrom=vacancy_search_list,2025-05-31T02:36:28.225147
